image,align_score,prompt,caption,quality_score,similarity_score,similarity_sentence,ImageReward_score,modifier,TOPIQ_score,Unnamed: 10,TOPIQ_score_bare
1261.png,41.91,A bowl of Chicken Pho,a bowl filled with noodles and vegetables,35.296,0.6086,a bowl ,-2.04189539,0.36516,0.422969967,,0.334198534488678
1262.png,45.56,A bowl of Chicken Pho,a bowl filled with noodles and vegetables,41.364,0.6086,a bowl ,-1.882227421,0.36516,0.42203626,,0.3367891311645508
1263.png,46.471,A bowl of Chicken Pho,a bowl filled with noodles and vegetables,42.153,0.6086,a bowl ,-2.236690283,0.36516,0.417176753,,0.3226324021816253
1264.png,53.154,A heart made of chocolate,a brown leather chair with a flower pattern on it,50.789,0.21,a brown leather ,1.17313087,0.126,0.522153556,,0.3682364821434021
1265.png,54.072,A heart made of chocolate,a piece of cake sitting on top of a table,54.89,0.3225,a piece of cake ,1.134051681,0.1935,0.519597232,,0.3735779821872711
1266.png,51.91,A heart made of chocolate,a wooden chair with a picture of a bear on it,43.023,0.2467,a wooden ,1.332009792,0.14801999999999998,0.524119496,,0.3791664242744446
1267.png,49.791,A heart made of chocolate,a brown leather chair with a picture of a horse on it,47.926,0.1964,a brown leather ,1.118597746,0.11783999999999999,0.516077995,,0.3730950951576233
1268.png,38.241,a coffee table with a magazine on it,a woman sitting on a wooden bench in front of a wall,39.739,0.2294,a woman sitting on a wooden ,-1.208789349,0.13763999999999998,0.405517638,,0.2919695675373077
1269.png,46.129,a coffee table with a magazine on it,a cat sitting on top of a wooden table,44.038,0.2639,a cat sitting on top of a wooden table ,-2.135008812,0.15834,0.396576852,,0.2822959721088409
1270.png,43.94,a coffee table with a magazine on it,a piece of cake sitting on top of a table,45.32,0.3075,a piece of cake sitting on top of a table ,-2.21909976,0.1845,0.422492445,,0.3262428343296051
1271.png,44.366,a coffee table with a magazine on it,a cat sitting on top of a table next to a box,42.708,0.3451,a cat sitting on top of a table next to a box ,-1.818891764,0.20706,0.428154498,,0.3448026478290558
1272.png,58.268,Sunset over the sea,the sun is setting over the ocean and the waves are coming in,45.81,0.7002,the sun is setting over the ocean and the ,-0.114889428,0.42012,0.50759095,,0.4471069574356079
1273.png,65.934,Sunset over the sea,a sunset view of the ocean with the sun setting,56.124,0.8709,a sunset view of the ocean ,0.253068149,0.69672,0.514466524,,0.4346693456172943
1274.png,56.236,Sunset over the sea,the sun is setting over the ocean and the waves are coming in,49.142,0.7002,the sun is setting over the ocean and the ,-0.06719847,0.42012,0.509611845,,0.4414310753345489
1275.png,66.038,Sunset over the sea,the sun is setting over the ocean and the waves are coming in,50.045,0.7002,the sun is setting over the ocean and the ,0.033444323,0.42012,0.504662156,,0.4475737512111664
1276.png,45.418,a boat in the canals of venice,a small boat traveling down a river filled with people,40.022,0.585,a small boat ,0.378840834,0.351,0.404059798,,0.3054679334163666
1277.png,53.118,a boat in the canals of venice,a small boat traveling down the river,45.764,0.5891,a small boat traveling down the river ,0.11724624,0.35345999999999994,0.40999952,,0.2854282557964325
1278.png,59.398,a boat in the canals of venice,people on a boat in the water,43.122,0.4793,people on a boat ,0.656520665,0.28758,0.405332357,,0.3069814443588257
1279.png,51.234,a boat in the canals of venice,people on a boat in a body of water,35.529,0.4843,people on a boat in a ,0.264581949,0.29058,0.404348195,,0.2984144687652588
1280.png,39.769,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,two statues of a giraffe and a zebra on a beach,40.268,0.2129,two statues of a giraffe and a zebra on a ,-0.929735541,0.12774,0.424855679,,0.3605508804321289
1281.png,38.405,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,two statues of elephants are standing on a beach,41.927,0.2009,two statues of elephants are standing on a ,-1.218978286,0.12054,0.409418553,,0.3656129240989685
1282.png,36.855,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,a painting of a group of elephants walking on a beach,39.253,0.1963,a painting of a group of elephants walking on a ,-1.101690292,0.11778,0.416721046,,0.3526330292224884
1283.png,38.83,A donkey is playing tug-of-war against an octopus. The donkey holds the rope in its mouth. A cat is jumping over the rope.,two animals are playing with each other on the ground,35.097,0.4763,two animals are playing with each other ,-0.880919278,0.38104000000000005,0.423047632,,0.3440031111240387
1284.png,39.84,a grandmother reading a book to her grandson and granddaughter,two girls sitting on a bench reading a book,32.631,0.3369,two girls sitting on a bench reading a book ,0.323072642,0.20214,0.381030053,,0.3195751309394836
1285.png,33.972,a grandmother reading a book to her grandson and granddaughter,two girls are reading a book together,36.354,0.479,two girls are reading a book together ,-0.196114287,0.2874,0.384629875,,0.3416391313076019
1286.png,36.986,a grandmother reading a book to her grandson and granddaughter,a woman reading a book while sitting on a bench,33.236,0.4766,a woman reading a book ,0.268365055,0.28596,0.370414197,,0.3392815291881561
1287.png,39.082,a grandmother reading a book to her grandson and granddaughter,a woman and a child reading a book together,39.652,0.6493,a woman and a child reading a book ,0.023784015,0.6493,0.383005351,,0.3525587916374206
1288.png,43.632,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,motorcycles are parked in a parking lot,41.621,0.4744,motorcycles are parked in a ,0.052716773,0.28464,0.417619318,,0.3078093528747558
1289.png,41.605,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,motorcycles are parked in a parking lot,33.62,0.4744,motorcycles are parked in a ,-0.923158944,0.28464,0.4240008,,0.3081242740154266
1290.png,42.791,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,a row of motorcycles are parked on the side of the road,37.921,0.5687,a row of motorcycles ,0.077121265,0.34121999999999997,0.417338938,,0.2726623713970184
1291.png,47.506,a blue semi-truck and its trailer jumping over a row of motorcycles. there are metal ramps on either side of the motorcycles. ,motorcycles are lined up on a road,40.5,0.4965,motorcycles are lined up on a ,0.271032959,0.2979,0.42577377,,0.3219949901103973
1292.png,42.627,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,two pictures of a cat and a bird,35.872,0.4516,two pictures of a cat ,-0.835508585,0.27096,0.407630801,,0.3019789159297943
1293.png,38.124,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a painting of a cat and a dog,39.594,0.4703,a painting of a cat ,-1.033430338,0.32921,0.419892222,,0.3147740066051483
1294.png,43.364,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a painting of a cat and a dog,44.24,0.4703,a painting of a cat ,-0.705376923,0.28218,0.417619646,,0.3014559745788574
1295.png,43.487,a propaganda poster depicting a cat dressed as french emperor napoleon holding a piece of cheese,a painting of a cat and a dog,39.556,0.4703,a painting of a cat ,-0.557763815,0.28218,0.410575479,,0.3101776540279388
1296.png,44.365,a tree reflected in the sunroof of a blue car,a blue vase sitting on top of a tree,39.017,0.4563,a blue vase sitting on top of a tree ,0.303129166,0.27377999999999997,0.462796479,,0.4263415932655334
1297.png,53.941,a tree reflected in the sunroof of a blue car,a tree with a reflection of a car in it,48.031,0.8103,a tree with a reflection of a car in ,1.20610857,0.8103,0.468999624,,0.4096649587154388
1298.png,41.372,a tree reflected in the sunroof of a blue car,a snowy landscape with trees and a waterfall,36.155,0.3037,a snowy landscape with trees ,-1.129773855,0.18222000000000002,0.4594495,,0.4055635631084442
1299.png,49.208,a tree reflected in the sunroof of a blue car,a tree with a reflection of a car in it,43.253,0.8103,a tree with a reflection of a car in ,1.305556893,0.64824,0.465701312,,0.4158902466297149
1300.png,39.811,a pineapple with one beer to its left and two beers on its right,two vases with flowers in them sitting on a table,41.22,0.3017,two vases with ,-2.188361168,0.18102000000000001,0.442112654,,0.3708156645298004
1301.png,44.809,a pineapple with one beer to its left and two beers on its right,two vases with flowers in them sitting on a counter,45.4,0.3017,two vases with ,-2.226103306,0.18102000000000001,0.434605211,,0.3742674887180328
1302.png,40.618,a pineapple with one beer to its left and two beers on its right,two vases with flowers in them sitting on a table,43.273,0.3017,two vases with ,-1.469461322,0.18102000000000001,0.427369267,,0.3692448437213897
1303.png,36.36,a pineapple with one beer to its left and two beers on its right,two yellow vases sitting on top of a counter,41.514,0.3017,two yellow ,-2.219624519,0.18102000000000001,0.438923687,,0.3610580265522003
1304.png,37.18,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of a cartoon character with a cat on it,36.904,0.297,a collage of a cartoon character with a ,-2.053728342,0.20789999999999997,0.380097628,,0.3815111815929413
1305.png,35.451,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of a cartoon character with a cat on it,38.16,0.297,a collage of a cartoon character with a ,-2.005456686,0.1782,0.389671355,,0.3722240626811981
1306.png,35.575,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of a cartoon character with a cat on it,33.376,0.297,a collage of a cartoon character with a ,-2.221768618,0.1782,0.379057139,,0.3768066465854645
1307.png,40.966,"A set of 2x2 emoji icons with happy, angry, surprised and sobbing faces. The emoji icons look like colorful macarons. All of the macarons are wearing cowboy hats.",a collage of a cartoon character with a cat on it,39.316,0.297,a collage of a cartoon character with a ,-1.908272862,0.1782,0.387393802,,0.3721998929977417
1308.png,40.735,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a cat sitting on top of a couch in a living room,41.601,0.395,a cat sitting on top of a couch in a living room ,-1.175888658,0.237,0.400589705,,0.2635544240474701
1309.png,42.634,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a living room filled with furniture and a dog,37.099,0.5852,a living room filled with furniture and a dog ,-1.56163466,0.35112000000000004,0.387828588,,0.2386530935764312
1310.png,38.295,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a dog sitting on a couch in a living room,30.076,0.5033,a dog sitting on a couch in a living room ,-1.56638062,0.30197999999999997,0.375528127,,0.2270768284797668
1311.png,41.326,A cozy living room with a painting of a corgi on the wall above a couch and a round coffee table in front of a couch and a vase of flowers on a coffee table,a dog sitting on a couch in a living room,41.301,0.5033,a dog sitting on a couch in a living room ,-1.777704954,0.30197999999999997,0.38047263,,0.2277578711509704
1312.png,50.806,Snow mountain and tree reflection in the lake,a lake with trees and a mountain,38.096,0.7368,a lake with trees and a mountain ,-0.45522657,0.51576,0.425595194,,0.325910359621048
1313.png,53.209,Snow mountain and tree reflection in the lake,a lake with trees and a mountain range,46.773,0.7437,a lake with trees and a mountain ,-0.038116891,0.59496,0.418307543,,0.3370002806186676
1314.png,43.885,Snow mountain and tree reflection in the lake,a lake filled with lots of snow next to a forest,38.455,0.6753,a lake filled with lots of snow next to a forest ,0.118518353,0.40518,0.415539265,,0.3335671126842499
1315.png,51.036,Snow mountain and tree reflection in the lake,a lake filled with lots of water and trees,42.675,0.5915,a lake ,0.073233403,0.3549,0.422914952,,0.3371398448944092
1316.png,43.609,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",an aerial view of a kite flying in the sky,36.404,0.3182,an aerial view of ,-0.180685326,0.19091999999999998,0.423490316,,0.3220468163490295
1317.png,42.984,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",an aerial view of a kite flying in the sky,44.065,0.3182,an aerial view of ,-0.123027712,0.19091999999999998,0.425658196,,0.3193342983722687
1318.png,48.458,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",an aerial view of an aerial view of an airplane flying in the sky,38.894,0.3273,an aerial view of ,0.048846412,0.19637999999999997,0.432357907,,0.3395669758319855
1319.png,52.392,"An anime illustration of Sydney Opera House sitting next to Eiffel tower, under a blue night sky of roiling energy, exploding yellow stars, and radiating swirls of blu",an aerial view of a fireworks display,46.887,0.367,an aerial view of a fireworks display ,0.021679012,0.25689999999999996,0.426792622,,0.329518049955368
1320.png,42.561,a dolphin in an astronaut suit on saturn,a fish figure in the air with a surfboard in it's mouth,43.324,0.47,a fish figure in the air with a surfboard in ,-1.626616836,0.47,0.458637238,,0.3907807171344757
1321.png,40.234,a dolphin in an astronaut suit on saturn,a fish is swimming in the water,40.291,0.3829,a fish ,-1.629597783,0.26803,0.452981561,,0.3893575370311737
1322.png,42.465,a dolphin in an astronaut suit on saturn,a blue and white object floating in the water,41.467,0.2793,a blue and white object floating in the water ,-1.652038574,0.16757999999999998,0.459708542,,0.401093453168869
1323.png,32.274,a dolphin in an astronaut suit on saturn,a statue of a fish swimming in the water,37.772,0.4622,a statue of a fish swimming in the ,-2.091329813,0.36976000000000003,0.441044599,,0.383324533700943
1324.png,52.841,a library filled with kids reading books,a library filled with lots of books on a sunny day,41.769,0.7889,a library filled with lots of books ,0.982731402,0.6311200000000001,0.400876641,,0.2879068553447723
1325.png,48.638,a library filled with kids reading books,people sitting at a table with books,43.392,0.2615,people sitting at a table with books ,1.102136374,0.1569,0.425272882,,0.3208552300930023
1326.png,49.853,a library filled with kids reading books,two children sitting at a table with books,44.725,0.4084,two children sitting at a table with books ,1.007951736,0.24503999999999998,0.419289112,,0.308881014585495
1327.png,45.087,a library filled with kids reading books,two children are reading books in a library,40.804,0.7035,two children are reading books in a library ,0.948213935,0.4221,0.421877742,,0.2998638451099396
1328.png,49.694,a large white yacht in a calm bay on a sunny day,a large white boat floating on top of a body of water,39.347,0.6391,a large white boat ,-0.27020359,0.38345999999999997,0.410696894,,0.423484206199646
1329.png,53.883,a large white yacht in a calm bay on a sunny day,a large white boat floating on top of a body of water,44.343,0.6391,a large white boat ,-0.261957049,0.38345999999999997,0.416219622,,0.4228565096855163
1330.png,58.256,a large white yacht in a calm bay on a sunny day,a large white boat floating on top of a body of water,45.577,0.6391,a large white boat ,0.071194313,0.38345999999999997,0.413556129,,0.4235725402832031
1331.png,51.747,a large white yacht in a calm bay on a sunny day,a large white boat floating on top of a body of water,39.567,0.6391,a large white boat ,-0.160897642,0.38345999999999997,0.408108324,,0.4339763224124908
1332.png,44.596,purple lego dollhouse with a pool and a swing,a pink and blue toy boat in a pool of water,35.804,0.5646,a pink and blue toy boat in a pool ,-0.377436876,0.39521999999999996,0.4137564,,0.2456118166446685
1333.png,43.046,purple lego dollhouse with a pool and a swing,a toy boat in the middle of a pool of water,38.83,0.5362,a toy boat in the middle of a pool ,-0.170124516,0.32172,0.413184047,,0.2386465668678283
1334.png,43.928,purple lego dollhouse with a pool and a swing,a small toy boat in the middle of a pool of water,40.591,0.501,a small toy boat in the middle of a pool ,-1.356654882,0.3006,0.422308356,,0.2301617562770843
1335.png,47.353,purple lego dollhouse with a pool and a swing,a pink carnival float in the middle of a pool,42.017,0.4233,a pink carnival float in the middle of a pool ,-1.202936411,0.25398,0.420925915,,0.2239611148834228
1336.png,43.928,a small garden with an apple tree behind it,a bench in the middle of a lush green field,39.709,0.2673,a bench in the middle of a lush green field ,-0.189780071,0.16038,0.442334473,,0.2976707518100738
1337.png,46.822,a small garden with an apple tree behind it,a fire hydrant in the middle of a lush green field,40.15,0.2093,a fire ,0.458748609,0.12558,0.425121337,,0.3095106184482574
1338.png,48.183,a small garden with an apple tree behind it,a tree filled with lots of green leaves next to a bench,35.82,0.4575,a tree ,0.452011943,0.2745,0.422764033,,0.2656688392162323
1339.png,48.553,a small garden with an apple tree behind it,a tree with a bunch of fruit in it,43.525,0.568,a tree with a bunch of fruit in it ,0.062339474,0.34079999999999994,0.435006827,,0.2840440273284912
1340.png,43.658,a bloody mary cocktail next to a napkin,a glass of orange juice sitting on top of a blender,39.378,0.4259,a glass of orange juice sitting on top of ,-2.230350018,0.25554,0.388836652,,0.3278570473194122
1341.png,37.623,a bloody mary cocktail next to a napkin,a white vase with a flower inside of it,37.572,0.3602,a white vase with ,-2.276969433,0.21612,0.388734013,,0.3407316505908966
1342.png,35.788,a bloody mary cocktail next to a napkin,a plastic container filled with a liquid,38.765,0.3013,a plastic container filled with a liquid ,-2.25628829,0.18078,0.387639612,,0.3209902942180633
1343.png,39.706,a bloody mary cocktail next to a napkin,a piece of paper that has been cut in half,38.189,0.2888,a piece of paper that has been cut in ,-2.253286839,0.17328,0.383268744,,0.3324958086013794
1344.png,50.344,a kids' book cover with an illustration of white dog driving a red pickup truck,a painting of a dog and a truck,38.843,0.5684,a painting of a dog and a truck ,0.392449439,0.34104,0.393784285,,0.2694997489452362
1345.png,38.261,a kids' book cover with an illustration of white dog driving a red pickup truck,a teddy bear sitting on top of a red wagon,35.457,0.2874,a teddy bear sitting on top of a red wagon ,0.863848627,0.17243999999999998,0.403584242,,0.3017187714576721
1346.png,45.382,a kids' book cover with an illustration of white dog driving a red pickup truck,a painting of a dog and a truck,41.782,0.5684,a painting of a dog and a truck ,0.416514814,0.34104,0.395012289,,0.2776100039482116
1347.png,48.793,a kids' book cover with an illustration of white dog driving a red pickup truck,a dog sitting in the back of a truck,39.126,0.4504,a dog sitting in the back of a truck ,0.691798568,0.27024,0.401369035,,0.2994106113910675
1348.png,53.24,A bare kitchen has wood cabinets and white appliances,a kitchen with white cabinets and white appliances,41.847,0.8468,a kitchen with white cabinets and white appliances ,-1.36680305,0.8468,0.442043036,,0.3099105060100555
1349.png,48.677,A bare kitchen has wood cabinets and white appliances,"a kitchen with a sink, stove, refrigerator and dishwasher",38.608,0.6791,a kitchen with ,-1.656082869,0.40746,0.430792421,,0.3442806899547577
1350.png,49.107,A bare kitchen has wood cabinets and white appliances,"a kitchen with a sink, stove, microwave and refrigerator",48.168,0.6791,a kitchen with ,-1.501101375,0.40746,0.431958377,,0.3502323925495147
1351.png,49.412,A bare kitchen has wood cabinets and white appliances,a kitchen with white cabinets and white appliances,42.931,0.8468,a kitchen with white cabinets and white appliances ,-1.135283232,0.67744,0.442348897,,0.3093498647212982
1352.png,51.954,a fall landscape with a small cottage next to a lake,a small boat in the middle of a lake,36.373,0.3542,a small boat in the middle of a lake ,-0.675466597,0.21252000000000001,0.407799035,,0.321109801530838
1353.png,61.145,a fall landscape with a small cottage next to a lake,a view of a lake from a boat,42.141,0.5633,a view of a lake ,-0.26268217,0.33798,0.406720996,,0.3092043995857239
1354.png,46.632,a fall landscape with a small cottage next to a lake,a river with trees and a house on top of it,46.081,0.4291,a river with trees and a house on top of ,0.029203963,0.25745999999999997,0.414583296,,0.3048106133937835
1355.png,51.776,a fall landscape with a small cottage next to a lake,a large body of water with trees and houses,38.648,0.3961,a large body of water with trees and houses ,0.188886896,0.23765999999999998,0.399042785,,0.3158214688301086
1356.png,39.489,a teddy bear on a skateboard in times square,a large teddy bear sitting on top of a stage,36.605,0.5485,a large teddy bear ,-0.578593433,0.3291,0.39509961,,0.3242566287517547
1357.png,39.902,a teddy bear on a skateboard in times square,a large teddy bear sitting on top of a stage,41.812,0.5485,a large teddy bear ,-0.715478241,0.3291,0.397151947,,0.3353689312934875
1358.png,42.346,a teddy bear on a skateboard in times square,a stuffed teddy bear sitting on the side of a street,40.955,0.5707,a stuffed teddy bear ,0.108156897,0.34242,0.398668975,,0.3166922330856323
1359.png,33.249,a teddy bear on a skateboard in times square,a teddy bear sitting on top of a baseball field,34.442,0.579,a teddy bear ,-0.949821174,0.3474,0.383111268,,0.3365871906280517
1360.png,43.505,A blue colored dog,a dog that is laying down in the grass,32.804,0.6939,a dog that is ,-0.256668329,0.41634,0.420305222,,0.3140276372432709
1361.png,47.889,A blue colored dog,a dog sitting in a blue and white t-shirt,44.63,0.7923,a dog sitting in a blue ,-0.492487371,0.47537999999999997,0.428372413,,0.2747869193553924
1362.png,45.165,A blue colored dog,a blue and white dog sitting in a pool of water,35.29,0.7673,a blue and white dog ,-1.237480402,0.46037999999999996,0.417309523,,0.311455100774765
1363.png,43.297,A blue colored dog,a blue and white dog sitting in a pool of water,35.363,0.7673,a blue and white dog ,-0.511842012,0.46037999999999996,0.412751704,,0.2885042726993561
1364.png,41.736,A photo of an astronaut riding a horse in the forest.,a man riding on the back of a brown horse,39.932,0.4136,a man riding on the back of a brown horse ,0.280071676,0.24816,0.412776798,,0.2819956541061401
1365.png,40.599,A photo of an astronaut riding a horse in the forest.,a man riding on the back of a brown horse,38.651,0.4136,a man riding on the back of a brown horse ,0.534891427,0.24816,0.397846043,,0.2419359982013702
1366.png,32.715,A photo of an astronaut riding a horse in the forest.,a man riding on the back of a brown horse,32.97,0.4136,a man riding on the back of a brown horse ,0.076336108,0.24816,0.381808579,,0.2545296549797058
1367.png,44.487,A photo of an astronaut riding a horse in the forest.,a man riding on the back of a brown horse,38.894,0.4136,a man riding on the back of a brown horse ,0.536698759,0.24816,0.402547568,,0.2665211260318756
1368.png,37.821,A bicycle on top of a boat,a motorcycle is parked on the side of the water,36.536,0.5091,a motorcycle is parked on the side of the water ,0.773510754,0.30546,0.424895078,,0.3123548924922943
1369.png,43.345,A bicycle on top of a boat,a row of small boats on a body of water,40.983,0.5829,a row of small boats on a body ,0.85897398,0.34974,0.427020997,,0.3536847531795501
1370.png,41.441,A bicycle on top of a boat,a small boat on a body of water,39.872,0.7086,a small boat on a ,0.508979142,0.42516,0.43149659,,0.3193123340606689
1371.png,45.687,A bicycle on top of a boat,a man riding a bike on top of a body of water,42.754,0.5667,a man riding a bike on top of a body of water ,0.746424019,0.34002,0.422045976,,0.3234752714633941
1372.png,37.161,a sword slicing through a loaf of bread,a piece of bread with a knife on it,40.93,0.7365,a piece of bread with a knife ,-2.211279631,0.7365,0.472681195,,0.3233773410320282
1373.png,35.455,a sword slicing through a loaf of bread,a piece of bread is laying on the floor,43.129,0.5808,a piece of bread is ,-2.166397095,0.34847999999999996,0.476321995,,0.342813640832901
1374.png,36.977,a sword slicing through a loaf of bread,a piece of bread is being cut into pieces,36.019,0.6883,a piece of bread is being cut into ,-2.257368088,0.41298,0.497544408,,0.330576479434967
1375.png,41.755,a sword slicing through a loaf of bread,a person laying on a bed with a piece of bread,44.879,0.2503,a person laying on a bed with a piece of bread ,-2.269282341,0.15018,0.486141562,,0.334210991859436
1376.png,34.336,an orange wearing a cowboy hat,a stuffed bear is wearing a red hat,35.809,0.3637,a stuffed bear is wearing a red hat ,0.190574601,0.21822,0.452003568,,0.3612842559814453
1377.png,36.747,an orange wearing a cowboy hat,a cat wearing a hat on top of a orange,44.374,0.4465,a cat wearing a hat on top of a orange ,0.834941506,0.26789999999999997,0.469869018,,0.3479983508586883
1378.png,38.253,an orange wearing a cowboy hat,a cat is sitting on a orange,43.265,0.1539,a cat is sitting on a orange ,0.727956235,0.09234,0.459025115,,0.3721383512020111
1379.png,32.525,an orange wearing a cowboy hat,an orange sitting on top of an orange peel,34.2,0.5671,an orange ,0.426358104,0.34026,0.456757337,,0.3560270071029663
1380.png,38.635,A bowl of soup that looks like a monster with tofu says deep learning,a bowl filled with food on top of a table,34.037,0.4441,a bowl filled with food on top ,-1.986880422,0.26646,0.406775504,,0.3050063550472259
1381.png,37.638,A bowl of soup that looks like a monster with tofu says deep learning,a bowl of food with a spoon in it,36.735,0.4376,a bowl of food with ,-2.079782009,0.26255999999999996,0.396284044,,0.332963079214096
1382.png,39.976,A bowl of soup that looks like a monster with tofu says deep learning,a bowl of food with a spoon in it,35.996,0.4376,a bowl of food with ,-1.812956095,0.26255999999999996,0.399013251,,0.351555198431015
1383.png,45.345,A bowl of soup that looks like a monster with tofu says deep learning,a bowl of food with a spoon in it,41.986,0.4376,a bowl of food with ,-1.958850145,0.26255999999999996,0.410838038,,0.3282699882984161
1384.png,42.855,a drawing of a series of musical notes wrapped around the Earth,a herd of zebra standing on top of a sandy beach,42.087,0.083,a herd of ,-1.715734243,0.049800000000000004,0.427591294,,0.3038415014743805
1385.png,42.009,a drawing of a series of musical notes wrapped around the Earth,a painting of a group of animals on a beach,42.182,0.3763,a painting of a group of animals ,-0.884029686,0.3763,0.439469278,,0.3543950915336609
1386.png,42.213,a drawing of a series of musical notes wrapped around the Earth,a pile of dead animals on top of a beach,39.265,0.1696,a pile of dead animals on top of a ,-1.588882685,0.10176,0.424869418,,0.3149323761463165
1387.png,41.3,a drawing of a series of musical notes wrapped around the Earth,a painting of a group of animals on a beach,38.808,0.3763,a painting of a group of animals ,-1.214706182,0.30104000000000003,0.430291325,,0.3500014245510101
1388.png,37.542,a small kitchen with a white goat in it,a white dog is standing in a kitchen,41.142,0.4915,a white dog is standing in a kitchen ,1.108137846,0.2949,0.456977576,,0.3336298763751983
1389.png,51.217,a small kitchen with a white goat in it,a white polar bear standing next to a white oven,44.841,0.3859,a white polar bear standing next to a white oven ,1.124389529,0.23154,0.46222797,,0.3184591829776764
1390.png,43.176,a small kitchen with a white goat in it,a white polar bear sitting on top of a white refrigerator,45.516,0.3575,a white polar bear sitting on top of a white refrigerator ,0.295242697,0.2145,0.452699572,,0.3244288861751556
1391.png,42.282,a small kitchen with a white goat in it,a white teddy bear sitting on top of a white table,40.931,0.347,a white ,-0.601667702,0.20819999999999997,0.444837123,,0.3014051616191864
1392.png,43.807,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a large zebra swimming in a pool of water,35.902,0.3104,a large zebra swimming in a pool of water ,0.341426373,0.18624,0.409421504,,0.2332375347614288
1393.png,41.206,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a polar bear swimming in a pool of water,43.155,0.2043,a polar bear swimming in a pool of water ,0.233234972,0.12258,0.415292054,,0.2437656819820404
1394.png,41.851,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a large group of ducks swimming in a pool,40.377,0.2041,a large group of ducks swimming ,-0.414361238,0.12246,0.397800654,,0.2128593623638153
1395.png,43.935,A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,a large pool of water with a bunch of animals in it,41.2,0.4316,a large pool of water with a bunch of animals in it ,0.110002644,0.25895999999999997,0.417338043,,0.2457573413848877
1396.png,43.972,an elephant walking on the Great Wall,a large elephant standing on top of a rock,41.853,0.6548,a large elephant ,-0.913607001,0.39288,0.399272949,,0.3909622132778168
1397.png,33.182,an elephant walking on the Great Wall,a large elephant standing on top of a rock,36.491,0.6548,a large elephant ,-1.939068913,0.39288,0.414696753,,0.3995602428913116
1398.png,43.686,an elephant walking on the Great Wall,a large elephant standing on top of a rock,40.338,0.6548,a large elephant ,-2.068255901,0.39288,0.404392809,,0.3733205795288086
1399.png,42.428,an elephant walking on the Great Wall,a large elephant standing on top of a rock,35.232,0.6548,a large elephant ,-1.455775619,0.39288,0.402334601,,0.3898786306381225
1400.png,44.695,A photo of a panda made of water.,a polar bear swimming in a body of water,38.985,0.3274,a polar bear swimming in a body of water ,-0.138345301,0.19644,0.408682048,,0.3000862896442413
1401.png,44.6,A photo of a panda made of water.,a polar bear swimming in a body of water,40.789,0.3274,a polar bear swimming in a body of water ,-0.25710997,0.19644,0.412138194,,0.2899742424488067
1402.png,35.817,A photo of a panda made of water.,a polar bear swimming in a body of water,35.888,0.3274,a polar bear swimming in a body of water ,-0.282080889,0.19644,0.408002675,,0.2947617769241333
1403.png,37.19,A photo of a panda made of water.,a polar bear swimming in a body of water,36.908,0.3274,a polar bear swimming in a body of water ,-0.535101712,0.19644,0.398824632,,0.2909711301326751
1404.png,49.885,"a portrait of a man wearing sunglasses and a business suit, painting in pop art style",a man in a suit and tie,47.218,0.4159,a man in a suit and ,0.659578562,0.24953999999999998,0.487493247,,0.4192748963832855
